OrderID,OrderDate,Region,SalesChannel,CustomerSegment,SalesRep,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,UnitCost,Revenue,Cost,Profit,ProfitMarginPct,OrderMonth,OrderYear,Weekday
ORD102132,2024-04-06,South,Online,Consumer,Rep_02,Sports & Outdoors,Camping Tent,4,144.58,20.0,91.36,462.66,365.44,97.22,21.01,2024-04,2024,Saturday
ORD102470,2025-09-15,East,Online,Consumer,Rep_13,Beauty,Face Serum,2,57.39,0.0,33.55,114.78,67.1,47.68,41.54,2025-09,2025,Monday
ORD100002,2024-08-29,South,Marketplace,Small Business,Rep_02,Apparel,Denim Jacket,1,55.69,0.0,35.14,55.69,35.14,20.55,36.9,2024-08,2024,Thursday
ORD100301,2025-04-01,North,In-Store,Consumer,Rep_06,Apparel,Yoga Pants,4,70.7,20.0,39.02,226.24,156.08,70.16,31.01,2025-04,2025,Tuesday
ORD101418,2025-10-28,West,In-Store,Consumer,Rep_06,Beauty,Face Serum,3,25.56,0.0,14.77,76.68,44.31,32.37,42.21,2025-10,2025,Tuesday
ORD101819,2024-06-01,East,Online,Enterprise,Rep_08,Home & Kitchen,Cookware Set,6,91.92,5.0,56.54,523.94,339.24,184.7,35.25,2024-06,2024,Saturday
ORD101509,2025-07-28,West,In-Store,Enterprise,Rep_14,Home & Kitchen,Air Fryer,3,166.5,0.0,80.08,499.5,240.24,259.26,51.9,2025-07,2025,Monday
ORD100694,2024-01-18,North,Online,Small Business,Rep_14,Home & Kitchen,Cookware Set,1,73.16,0.0,34.17,73.16,34.17,38.99,53.29,2024-01,2024,Thursday
ORD102217,2024-04-09,East,Online,Enterprise,Rep_04,Home & Kitchen,Coffee Maker,5,26.57,15.0,17.87,112.92,89.35,23.57,20.87,2024-04,2024,Tuesday
ORD102380,2025-05-03,West,Online,Consumer,Rep_04,Beauty,Skincare Set,4,26.95,15.0,13.94,91.63,55.76,35.87,39.15,2025-05,2025,Saturday
ORD101042,2024-10-21,East,Marketplace,Consumer,Rep_05,Home & Kitchen,Vacuum Cleaner,5,149.48,20.0,86.13,597.92,430.65,167.27,27.98,2024-10,2024,Monday
ORD101489,2024-02-23,East,In-Store,Consumer,Rep_09,Home & Kitchen,Coffee Maker,2,80.22,0.0,40.98,160.44,81.96,78.48,48.92,2024-02,2024,Friday
ORD101651,2024-04-15,South,Online,Consumer,Rep_14,Apparel,Denim Jacket,4,75.07,0.0,42.15,300.28,168.6,131.68,43.85,2024-04,2024,Monday
ORD100820,2025-09-13,North,In-Store,Small Business,Rep_07,Apparel,Winter Coat,3,110.95,0.0,69.84,332.85,209.52,123.33,37.05,2025-09,2025,Saturday
ORD102065,2025-06-05,East,In-Store,Consumer,Rep_11,Home & Kitchen,Cookware Set,4,66.75,5.0,33.71,253.65,134.84,118.81,46.84,2025-06,2025,Thursday
ORD102444,2024-09-30,North,Online,Consumer,Rep_13,Apparel,Running Shoes,3,91.51,5.0,52.61,260.8,157.83,102.97,39.48,2024-09,2024,Monday
ORD101159,2025-04-17,East,In-Store,Consumer,Rep_03,Home & Kitchen,Vacuum Cleaner,2,90.09,5.0,44.78,171.17,89.56,81.61,47.68,2025-04,2025,Thursday
ORD102008,2025-09-24,North,Online,Small Business,Rep_12,Apparel,Running Shoes,2,60.35,0.0,34.35,120.7,68.7,52.0,43.08,2025-09,2025,Wednesday
ORD101337,2024-12-23,West,In-Store,Consumer,Rep_05,Apparel,Denim Jacket,2,25.75,0.0,13.05,51.5,26.1,25.4,49.32,2024-12,2024,Monday
ORD100328,2024-03-19,East,Online,Small Business,Rep_10,Electronics,Power Bank,3,98.23,0.0,52.35,294.69,157.05,137.64,46.71,2024-03,2024,Tuesday
ORD102340,2024-07-03,North,Online,Consumer,Rep_01,Beauty,Perfume,7,71.39,0.0,46.07,499.73,322.49,177.24,35.47,2024-07,2024,Wednesday
ORD100929,2024-06-14,North,In-Store,Enterprise,Rep_15,Beauty,Hair Dryer,5,74.13,0.0,47.94,370.65,239.7,130.95,35.33,2024-06,2024,Friday
ORD102560,2024-07-07,West,In-Store,Consumer,Rep_15,Home & Kitchen,Cookware Set,3,126.84,0.0,59.18,380.52,177.54,202.98,53.34,2024-07,2024,Sunday
ORD101344,2024-06-27,West,In-Store,Consumer,Rep_08,Home & Kitchen,Air Fryer,1,85.27,0.0,43.46,85.27,43.46,41.81,49.03,2024-06,2024,Thursday
ORD101675,2025-02-05,North,In-Store,Consumer,Rep_13,Apparel,Yoga Pants,1,91.0,0.0,54.68,91.0,54.68,36.32,39.91,2025-02,2025,Wednesday
ORD102014,2025-06-14,East,In-Store,Consumer,Rep_04,Home & Kitchen,Air Fryer,5,119.73,0.0,67.94,598.65,339.7,258.95,43.26,2025-06,2025,Saturday
ORD101377,2025-03-06,North,Online,Small Business,Rep_12,Electronics,Smartwatch,1,161.91,0.0,106.28,161.91,106.28,55.63,34.36,2025-03,2025,Thursday
ORD100517,2024-03-06,East,Online,Consumer,Rep_14,Home & Kitchen,Vacuum Cleaner,1,169.97,0.0,106.86,169.97,106.86,63.11,37.13,2024-03,2024,Wednesday
ORD101396,2025-12-10,South,Marketplace,Consumer,Rep_04,Sports & Outdoors,Water Bottle,6,48.22,0.0,26.42,289.32,158.52,130.8,45.21,2025-12,2025,Wednesday
ORD102305,2025-12-06,South,Online,Consumer,Rep_09,Apparel,Denim Jacket,10,94.8,0.0,50.79,948.0,507.9,440.1,46.42,2025-12,2025,Saturday
ORD100241,2024-11-25,East,Marketplace,Consumer,Rep_15,Home & Kitchen,Vacuum Cleaner,7,108.89,0.0,50.74,762.23,355.18,407.05,53.4,2024-11,2024,Monday
ORD100997,2025-12-09,West,Marketplace,Consumer,Rep_06,Home & Kitchen,Vacuum Cleaner,7,44.48,0.0,23.27,311.36,162.89,148.47,47.68,2025-12,2025,Tuesday
ORD102252,2025-09-03,South,Marketplace,Consumer,Rep_13,Apparel,Yoga Pants,3,29.05,10.0,16.81,78.44,50.43,28.01,35.71,2025-09,2025,Wednesday
ORD102203,2025-08-12,East,Online,Consumer,Rep_02,Home & Kitchen,Coffee Maker,4,60.61,0.0,37.58,242.44,150.32,92.12,38.0,2025-08,2025,Tuesday
ORD100151,2025-09-20,East,In-Store,Consumer,Rep_14,Apparel,Backpack,8,101.41,20.0,55.43,649.02,443.44,205.58,31.68,2025-09,2025,Saturday
ORD101408,2025-07-21,North,Marketplace,Consumer,Rep_02,Electronics,Smartwatch,2,67.9,0.0,39.24,135.8,78.48,57.32,42.21,2025-07,2025,Monday
ORD101029,2024-11-30,West,Online,Small Business,Rep_03,Beauty,Perfume,7,42.21,0.0,25.1,295.47,175.7,119.77,40.54,2024-11,2024,Saturday
ORD100735,2024-08-24,South,Online,Small Business,Rep_05,Apparel,Running Shoes,3,115.08,5.0,62.81,327.98,188.43,139.55,42.55,2024-08,2024,Saturday
ORD101966,2024-03-21,West,Online,Consumer,Rep_07,Beauty,Perfume,2,88.53,5.0,55.84,168.21,111.68,56.53,33.61,2024-03,2024,Thursday
ORD102096,2025-12-01,East,Online,Small Business,Rep_08,Beauty,Hair Dryer,2,15.94,0.0,8.08,31.88,16.16,15.72,49.31,2025-12,2025,Monday
ORD100762,2025-12-29,East,In-Store,Consumer,Rep_08,Apparel,Running Shoes,4,69.03,0.0,33.98,276.12,135.92,140.2,50.78,2025-12,2025,Monday
ORD101287,2025-11-21,North,Marketplace,Consumer,Rep_11,Apparel,Backpack,1,38.75,0.0,17.44,38.75,17.44,21.31,54.99,2025-11,2025,Friday
ORD101549,2024-09-18,North,Online,Small Business,Rep_09,Beauty,Skincare Set,6,67.66,20.0,30.61,324.77,183.66,141.11,43.45,2024-09,2024,Wednesday
ORD100676,2024-05-29,South,Online,Small Business,Rep_09,Apparel,Running Shoes,2,74.11,20.0,46.51,118.58,93.02,25.56,21.56,2024-05,2024,Wednesday
ORD101684,2025-08-25,North,Online,Consumer,Rep_01,Home & Kitchen,Air Fryer,2,151.65,0.0,85.47,303.3,170.94,132.36,43.64,2025-08,2025,Monday
ORD101354,2024-06-25,East,Online,Consumer,Rep_03,Home & Kitchen,Air Fryer,5,82.5,0.0,52.8,412.5,264.0,148.5,36.0,2024-06,2024,Tuesday
ORD100398,2024-03-07,East,Online,Enterprise,Rep_05,Apparel,Winter Coat,5,81.8,0.0,44.67,409.0,223.35,185.65,45.39,2024-03,2024,Thursday
ORD100873,2025-01-08,East,In-Store,Small Business,Rep_03,Apparel,Backpack,4,62.62,5.0,37.2,237.96,148.8,89.16,37.47,2025-01,2025,Wednesday
ORD101906,2024-12-09,West,Online,Consumer,Rep_03,Beauty,Hair Dryer,5,72.3,10.0,41.79,325.35,208.95,116.4,35.78,2024-12,2024,Monday
