OrderID,OrderDate,Region,SalesChannel,CustomerSegment,SalesRep,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,UnitCost,Revenue,Cost
ORD102132,2024-04-06,South,Online,Consumer,Rep_02,Sports & Outdoors,Camping Tent,4,144.58,20.0,91.36,462.66,365.44
ORD102470,2025-09-15,East,Online,Consumer,Rep_13,Beauty,Face Serum,2,57.39,0.0,33.55,114.78,67.1
ORD100002,2024-08-29,South,Marketplace,Small Business,Rep_02,Apparel,Denim Jacket,1,55.69,0.0,35.14,55.69,35.14
ORD100301,2025-04-01,North,In-Store,Consumer,Rep_06,Apparel,Yoga Pants,4,70.7,20.0,39.02,226.24,156.08
ORD101418,2025-10-28,West,In-Store,Consumer,Rep_06,Beauty,Face Serum,3,25.56,0.0,14.77,76.68,44.31
ORD101819,2024-06-01,East,Online,Enterprise,Rep_08,Home & Kitchen,Cookware Set,6,91.92,5.0,56.54,523.94,339.24
ORD101509,2025-07-28,West,In-Store,Enterprise,Rep_14,Home & Kitchen,Air Fryer,3,166.5,0.0,80.08,499.5,240.24
ORD100694,2024-01-18,North,Online,Small Business,Rep_14,Home & Kitchen,Cookware Set,1,73.16,0.0,34.17,73.16,34.17
ORD102217,2024-04-09,East,Online,Enterprise,Rep_04,Home & Kitchen,Coffee Maker,5,26.57,15.0,17.87,112.92,89.35
ORD102380,2025-05-03,West,Online,Consumer,Rep_04,Beauty,Skincare Set,4,26.95,15.0,13.94,91.63,55.76
ORD101042,2024-10-21, East ,Marketplace,Consumer,Rep_05,Home & Kitchen,Vacuum Cleaner,5,149.48,20.0,86.13,597.92,430.65
ORD101489,2024-02-23,East,In-Store,Consumer,Rep_09,Home & Kitchen,Coffee Maker,2,80.22,0.0,40.98,160.44,81.96
ORD101651,2024-04-15,South,Online,Consumer,Rep_14,Apparel,Denim Jacket,4,75.07,0.0,42.15,300.28,168.6
ORD100820,2025-09-13,North,In-Store,Small Business,Rep_07,Apparel,Winter Coat,3,110.95,0.0,69.84,332.85,209.52
ORD102065,2025-06-05,East,In-Store,Consumer,Rep_11,Home & Kitchen,Cookware Set,4,66.75,5.0,33.71,253.65,134.84
ORD102444,2024-09-30,North,Online,Consumer,Rep_13,Apparel,Running Shoes,3,91.51,5.0,52.61,260.8,157.83
ORD101159,2025-04-17,East,In-Store,Consumer,Rep_03,Home & Kitchen,Vacuum Cleaner,2,90.09,5.0,44.78,171.17,89.56
